code_r;desig_r;dif;jour;month;mois;annee;num_man;code_p;design_p;poste;type_nav;nom_nav;sejour;num_gros;pavilion
507;CAP BOUAK 2;00:40:00;24;7;Juillet;2013;2007;2;SORTIE;POSTE 14;CARGO;ARISTOKLIS K;6;20130914;CHYPRE
507;CAP BOUAK 2;01:04:59;24;7;Juillet;2013;2008;1;ENTREE;POSTE 18;CARGO;VECTIS EAGLE;5;20130944;GRANDE BRETAGNE
505;CAP CARBON;20:09:47;23;7;Juillet;2013;2010;7;ASSISTANCE SPM;SPM;PETROLIER;CAP CHARLES;2;20130962;GRECE
506;CAP SIGLI;16:00:07;24;7;Juillet;2013;2011;7;ASSISTANCE SPM;SPM;PETROLIER;CAP CHARLES;2;20130962;GRECE
506;CAP SIGLI;00:20:00;25;7;Juillet;2013;2012;2;SORTIE;SPM;PETROLIER;CAP CHARLES;2;20130962;GRECE
503;CHELIFF 6;01:10:01;24;7;Juillet;2013;2016;2;SORTIE;POSTE 22;PORTE CONTENEURS;FIONA;4;20130803;GIBRALTAR
505;CAP CARBON;01:10:01;24;7;Juillet;2013;2016;2;SORTIE;POSTE 22;PORTE CONTENEURS;FIONA;4;20130803;GIBRALTAR
507;CAP BOUAK 2;01:10:01;24;7;Juillet;2013;2016;2;SORTIE;POSTE 22;PORTE CONTENEURS;FIONA;4;20130803;GIBRALTAR
503;CHELIFF 6;01:20:00;24;7;Juillet;2013;2017;11;MOUVEMENT;POSTE 14;CARGO;GORA;13;20130910;LIBERIA
505;CAP CARBON;01:20:00;24;7;Juillet;2013;2017;11;MOUVEMENT;POSTE 14;CARGO;GORA;13;20130910;LIBERIA
507;CAP BOUAK 2;01:20:00;24;7;Juillet;2013;2017;11;MOUVEMENT;POSTE 14;CARGO;GORA;13;20130910;LIBERIA
505;CAP CARBON;00:44:53;24;7;Juillet;2013;2018;2;SORTIE;POSTE 19;CARGO;ALFA TWILIGHT;2;20130915;MALTE
503;CHELIFF 6;00:30:00;24;7;Juillet;2013;2019;1;ENTREE;POSTE 19;NAVIRE CARBURANT;NORTH SEA ALPHA;2;20130963;MALTE
505;CAP CARBON;00:30:00;24;7;Juillet;2013;2019;1;ENTREE;POSTE 19;NAVIRE CARBURANT;NORTH SEA ALPHA;2;20130963;MALTE
503;CHELIFF 6;00:59:47;24;7;Juillet;2013;2020;1;ENTREE;POSTE 22;PORTE CONTENEURS;SIRIUS;3;20130958;ILES MARSHALL
505;CAP CARBON;00:59:47;24;7;Juillet;2013;2020;1;ENTREE;POSTE 22;PORTE CONTENEURS;SIRIUS;3;20130958;ILES MARSHALL
507;CAP BOUAK 2;00:59:47;24;7;Juillet;2013;2020;1;ENTREE;POSTE 22;PORTE CONTENEURS;SIRIUS;3;20130958;ILES MARSHALL
503;CHELIFF 6;00:35:07;24;7;Juillet;2013;2021;2;SORTIE;POSTE 01;NAVIRE CARBURANT;FS DIANE;5;20130947;FRANCE
505;CAP CARBON;00:35:07;24;7;Juillet;2013;2021;2;SORTIE;POSTE 01;NAVIRE CARBURANT;FS DIANE;5;20130947;FRANCE
503;CHELIFF 6;01:05:00;24;7;Juillet;2013;2022;1;ENTREE;POSTE 14;CARGO;SEA ENTERPRISER;4;20130933;CHYPRE
505;CAP CARBON;01:05:00;24;7;Juillet;2013;2022;1;ENTREE;POSTE 14;CARGO;SEA ENTERPRISER;4;20130933;CHYPRE
507;CAP BOUAK 2;01:05:00;24;7;Juillet;2013;2022;1;ENTREE;POSTE 14;CARGO;SEA ENTERPRISER;4;20130933;CHYPRE
505;CAP CARBON;00:45:19;25;7;Juillet;2013;2026;1;ENTREE;POSTE 01;NAVIRE CARBURANT;MINITANK SIX;3;20130967;MALTE
506;CAP SIGLI;00:45:19;25;7;Juillet;2013;2026;1;ENTREE;POSTE 01;NAVIRE CARBURANT;MINITANK SIX;3;20130967;MALTE
505;CAP CARBON;02:49:53;25;7;Juillet;2013;2027;1;ENTREE;SPM;PETROLIER;ACHILLEAS;1;20130970;LIBERIA
506;CAP SIGLI;02:49:53;25;7;Juillet;2013;2027;1;ENTREE;SPM;PETROLIER;ACHILLEAS;1;20130970;LIBERIA
506;CAP SIGLI;15:00:00;25;7;Juillet;2013;2028;7;ASSISTANCE SPM;SPM;PETROLIER;ACHILLEAS;1;20130970;LIBERIA
505;CAP CARBON;13:55:00;26;7;Juillet;2013;2029;7;ASSISTANCE SPM;SPM;PETROLIER;ACHILLEAS;1;20130970;LIBERIA
505;CAP CARBON;00:25:00;26;7;Juillet;2013;2030;2;SORTIE;SPM;PETROLIER;ACHILLEAS;1;20130970;LIBERIA
503;CHELIFF 6;00:39:41;26;7;Juillet;2013;2036;2;SORTIE;POSTE 19;NAVIRE CARBURANT;NORTH SEA ALPHA;2;20130963;MALTE
506;CAP SIGLI;00:39:41;26;7;Juillet;2013;2036;2;SORTIE;POSTE 19;NAVIRE CARBURANT;NORTH SEA ALPHA;2;20130963;MALTE
506;CAP SIGLI;01:00:00;26;7;Juillet;2013;2037;1;ENTREE;POSTE 19;CARGO;PARNASSOS II;3;20130937;GRECE
